Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Control
0.0014369	0.000412893	0.012150882	0.012211461	0.006178689	0.000230202	0.000152224	0.017436326	0.007034904	0.000175733	8.74E-05	0.004692149	0.000261767	2.08E-05	0.000200736	0.009815236	0.001043727	0.017103689	0.003493848	0.000357529	3.88E-05	0.000882709	0.000177688	0.007257661	0.004397124	0.000827184	0.003191404	0.001148826	0.018404863	0	0.003171247
0.003041381	0.000961346	0.025146303	0.026542706	0.009514046	0.000973486	0.000488545	0.040534389	0.010084717	0.000644566	0.001122578	0.007353445	0.001302463	0.00224559	0.001585818	0.015183033	0.000500604	0.009506215	0.006203888	0.001720454	0.000698033	0.00369323	0.000369109	0.013149545	0.00798397	0.001548426	0.007458244	0.001935939	0.037241088	0	0.013742072
0.002398976	0.000746636	0.014572148	0.076133504	0.011353232	0.000841937	0	0.014912168	0.003644995	0.000936541	0	0.0128819	0.00037091	0.00129476	0	0.016678136	1.12E-05	0.00962953	0.002030207	6.09E-07	0	0	0	0.064519565	0.008002519	0.001431876	0.005966956	0	0.058366161	0.008759966	0.025369979
0.00080148	0.000194521	0.008851553	0.008073198	0.003780759	0.000255492	0.000151164	0.015843861	0.00395868	0.002293548	8.68E-05	0.002783578	0.000657443	0.006121046	0.000874019	0.005327483	0.001798882	0.006528157	0.002399477	0.00090508	0.00023141	0.000537598	0	0.006189208	0.002191271	0.000240762	0.001654861	0.000419132	0.007000388	0	0.003171247
0.001242923	0.000596319	0.014980814	0.022448053	0.005823049	0.001990601	0.000664672	0.021926207	0.00836192	0.001132714	0.000445457	0.011973408	0.001946288	0.001697307	0.002382266	0.014108309	0.000856092	0.043726556	0.005322814	0.007663439	0.001130574	0.003886282	9.40E-05	0.023437689	0.009591926	0.002187313	0.004519573	0.001398167	0.019678804	0	0.00422833
0.001673435	0.000227495	0.015204408	0.036161538	0.003605052	0.005744876	0.000401956	0.021321214	0.005882414	0.000397742	0.00130845	0.01201442	0.001595764	0.003739153	0.002283308	0.010731949	0.000423106	0.012297817	0.009139472	0.019470141	0.000957189	0.003889173	0.000508406	0.015055683	0.00611796	0.00284175	0.002411157	0.000483783	0.011956425	0	0.009513742
0.001884629	6.68E-05	0.017542299	0.047999917	0.018881615	0.020090201	0	0.008977931	0	0.002865079	0.007128325	0.027817757	0.003112823	0.003055589	0.003776206	0.021866566	0.002762947	0.094787515	0.009582433	0.061663879	0.017096716	0.008612982	0.001047653	0.092645746	0.009249993	0.005366872	0.002661845	0.000719102	0.062155999	0.013207916	0.013742072
0.000955158	0.00025848	0.008282722	0.014836876	0.004675292	0.00793743	0.000507867	0.01403522	0.00547649	0.004123437	0.000628371	0.004441435	0.001008845	0.026871293	0.0036141	0.005257002	1.84E-05	0.013090165	0.003217921	0.032162724	0.002232739	0.00267486	0.000290787	0.005224219	0.005730273	0.007925657	0.001951346	0.000157538	0.01089503	0	0.00422833
0.002442258	0.000487805	0.012175842	0.028823579	0.011268008	0.000744657	0.000261595	0.02576829	0.015850547	0.000805321	0.000400728	0.008656813	0.000236704	0.000858869	0.000849137	0.013410081	0.008531288	0.099823011	0.002394173	0.000774891	8.90E-05	0.001745955	0.000314233	0.031740838	0.013708076	0.001277929	0.015109136	0.004024723	0.047031157	0.007263695	0.002114165
0.002335129	0.000253502	0.018613525	0.041813472	0.011978722	0.002460121	0.000119204	0.023534394	0.016894034	0.001730002	0.001369535	0.010689014	0.00184742	0.007436057	0.004788342	0.017950282	0.00230884	0.017060337	0.003170666	0.003104911	0.004622938	0.003326639	0.000697732	0.087253077	0.009001895	0.002491769	0.023893467	0.001105244	0.060516141	0.01048154	0.013742072
0.001783585	0.002412159	0.011381151	0.169749493	0.025965071	0.006356046	0	0.009031696	0	0.00112226	0	0.020430555	0.001692239	0.005119999	0.004486757	0.04905522	0.016346164	0.070135724	0	0.025407914	0.002604324	0.004379181	0.001308952	0.263466753	0.006535475	0.000119916	0.022330844	0	0.102184809	0.007085658	0.021141649
0.001446927	0.000186185	0.016777844	0.021633491	0.010676369	0.002952645	9.54E-05	0.025066396	0.01248901	0.005536946	0.000657488	0.004123604	0.001080067	0.038413093	0.01195837	0.009626038	0.004431778	0.061087577	0.0058923	0.009824612	0.002238854	0.000763612	0	0.032021582	0.011662239	0.001966674	0.011389301	0.002716666	0.039286446	0.007327294	0.002114165
