Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7a	Signature.7b	Signature.7c	Signature.7d	Signature.8	Signature.9	Signature.10a	Signature.10b	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17a	Signature.17b	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Signature.31	Signature.32	Signature.33	Signature.34	Signature.35	Signature.36	Signature.37	Signature.38	Signature.39	Signature.40	Signature.41	Signature.42	Signature.43	Signature.44	Signature.45	Signature.46	Signature.47	Signature.48	Signature.49	Signature.50	Signature.51	Signature.52	Signature.53	Signature.54	Signature.55	Signature.56	Signature.57	Signature.58	Signature.59	Signature.60	Signature.84	Signature.85	Control
6.36E-05	3.90E-07	0.012090977	0.015623319	0.004991896	4.66E-05	3.18E-05	0.000994108	0.00430058	2.82E-05	0.025518305	0.000364052	0.001643222	3.29E-05	7.69E-05	0.003440258	0.001375473	0.000567195	0.000105156	0.012067251	0.001929695	0.000646987	0.017973267	0.000664127	0.000246599	8.86E-05	0.004283737	0.000334606	0.008093139	0.004394155	0.000528251	0.003193472	0.000744213	0.016503259	0.000798851	0.005121056	0.008621881	0.001712827	0.003086761	0.004964591	0.012235851	0.002531267	0.005122599	0.004416101	0.017077157	0.001224092	0.000555188	0.01405947	2.47E-18	0.003289818	0.002520451	0.049357622	8.70E-05	0.002576425	0.057998808	0.067716531	0.005081538	0.001145461	0.000753184	0.002668961	0.009972001	0.00716079	0.035836492	0.001387309	0.003038707	0.001532773	0.005554343	0.003171247
0.00042031	0.000255203	0.024626005	0.031653157	0.0100825	0.000147458	0.000218027	0.000504999	0.002628995	0.001370954	0.071015488	0.006851158	0.003409867	0.003038689	0.000746337	0.002208223	0.001399032	0.017033242	0.000142145	0.005615627	0.002197217	0.000352447	0.014157573	0.000860632	0.001421762	0.003418722	0.000174586	0.000410518	0.015127719	0.007977195	0.000820299	0.007459602	0.006166141	0.034326897	0.000576575	0.025497337	0.018662378	0.003153334	0.011326487	0.066692449	0.010372153	0.002385727	0.010378002	0.006929009	0.020834505	0.001817202	0.025314026	0.007219563	0.000123967	0.002642472	0.006912503	0.055512774	0.000219642	0.001852726	0.158923372	0.002083887	0.005613598	0.001071436	0.000712643	0.00238908	0.031902401	0.002137489	0.010544498	0.002351467	0.000988242	0.005675644	0.002063831	0.013742072
0.000158032	0.000436781	0.012649871	0.071818348	0.009569869	7.09E-05	0.000420026	0.000986826	0.00417418	0.002169899	0.033243379	0.003456116	0.001399566	0.000120393	0.000616203	0.005110887	0.002481044	0.002600843	6.39E-05	0.009566178	0.000551792	0.000770132	0.010545715	0.001599677	0.000107996	0.002062705	0.006780469	4.91E-07	0.040919215	0.008003099	0.00085779	0.005968114	0.004166829	0.062345316	0.000503865	0.011080751	0.021442825	0.002835329	0.000409852	0.009718237	0.013524824	0.008446887	0.009455488	0.012531826	0.021988685	0.000442945	0.000198783	0.003709977	3.67E-06	0.007454381	0.002136962	0.012492622	0.000326345	0.00907535	0.034970181	0.02866598	0.017210833	0.100872549	0.007111167	0.000253432	0.002027351	0.02410738	0.006241861	0.000682365	1.37E-15	0.00248487	0.003476148	0.025369979
9.13E-05	6.52E-05	0.007042429	0.010845447	0.002730551	1.96E-05	0.000116832	0.000300816	0.001733008	0.002807173	0.027006958	0.001976028	0.012666764	2.93E-06	0.000139101	0.000922098	0.000261171	0.041539254	0.000122787	0.007938872	5.72E-05	0.000481861	0.007416485	0.000296516	0.000490554	0.000347933	0.001217423	2.23E-18	0.004857389	0.00219059	0.000371947	0.001655613	0.003742278	0.009231392	0.000245038	0.003347614	0.005605503	0.001039134	0.000774183	0.012059827	0.008630804	0.001177273	0.003517129	0.002773636	0.008900056	0.00076621	0.003787956	0.000979675	0.001847545	0.003456966	0.001934056	0.008602726	3.93E-06	0.000812394	0.040267995	0.010110579	0.003067525	3.62E-06	0.000143355	0.00052737	0.018076077	0.004994984	0.00337139	0.005564308	0.000217852	0.004075277	0.002464958	0.003171247
3.26E-05	0.000203319	0.019036346	0.04348479	0.004498587	0.000290335	0.000314167	0.000707922	0.000141257	0.014730606	0.033772296	0.004557986	0.00347282	0.000137226	0.000473669	0.006004196	0.001539968	0.012014471	0.006777079	0.011416282	0.000400261	0.000419725	0.037588456	0.001004672	0.021801735	1.82E-16	0.001898464	8.81E-05	0.008219631	0.009561035	0.001241791	0.004523102	0.002804659	0.020599416	0.000496087	0.008359839	0.000697785	0.002164312	0.001798919	0.024467913	0.039434	0.003003307	0.221926095	0.005548524	0.018332968	0.002009608	0.008080589	0.004599	1.33E-05	0.125093132	0.01300628	0.026065294	0.0001747	0.034212302	0.015960909	0.004879036	0.027929712	0.103501707	3.21E-05	0.004129028	0.002856712	0.007371877	0.0054727	0.001254257	0.000848592	0	0.005669632	0.00422833
0.000226245	0.00011267	0.025889422	0.051942509	0.004496312	0.000789136	0.000200429	0.001164161	0.004843309	0.003956483	0.039522891	0.002205128	0.000266813	0.001013042	0.000914039	0.00573456	0.001287833	0.017562407	0.000990281	0.011988914	0.001903619	7.70E-05	0.012041473	0.000706068	0.069358593	0.002582361	0.005558477	0.000444418	0.013659814	0.006110134	0.001608448	0.002406213	0.000182142	0.016962223	0.00030313	0.010961573	0.003348621	0.001851784	4.09E-05	0.032661824	0.017265882	0.000918267	0.048963107	0.006019842	0.015670669	0.000938536	0.027635011	6.88E-05	0.017169155	0.095991819	0.00726042	0.006753656	6.39E-06	0.005167894	0.002479555	0.002680024	0.011181728	0.001330547	0.001577553	0.002996401	0.00930662	0.004037902	0.00196004	0.004034011	0.000220058	0.004055592	0.000492458	0.009513742
0.000109099	2.44E-15	0.023787831	0.147880184	0.023466237	0.002948436	1.72E-15	0.002838055	0.027726581	0.000968417	0.03216997	0.014572442	0.000567614	0.000247243	7.90E-05	0.014518491	5.34E-05	0.011394	0.000120228	0.021395411	3.37E-15	3.87E-15	0.068278517	0.002012067	0.048258308	0.018213278	0.001580412	0.000849324	0.057998752	0.009262607	0.003571231	0.002658215	3.44E-15	0.063008248	0.002944901	0.002879321	0.000104638	0.003331272	0.003079451	0.020166404	0.056205011	0.007804489	0.332761927	0.035322228	0.025077441	0.002468625	0.014669758	0.000198916	0.019627148	0.399766448	0.042026293	0.003216451	0.227201343	0.861854787	4.12E-17	0.033668757	0.074126506	0.235001034	0.033712023	0.004743577	8.67E-17	0.010155999	0.014482585	0.005134749	0.003053065	0.000498292	0.002342088	0.013742072
1.64E-17	0.000290254	0.00918973	0.026223696	0.002771488	0.00108014	0.000181165	0.000652601	0.012339502	8.38E-05	0.019602485	0.002049435	0.013325461	0.001547482	8.11E-05	0.000859467	1.72E-16	0.135167218	0.003281929	0.001927843	0.000131106	0.000198814	0.013005	1.85E-05	0.103058717	0.0110626	8.05E-05	0.000238594	0.003902974	0.005741095	0.004435152	0.001950613	0.000197816	0.013912461	0.000135311	0.01537444	0.001059723	0.001430401	0.000403413	0.047616849	0.030155947	0.001164389	0.075593106	0.002336439	0.009138349	0.001578197	0.010366889	2.55E-18	0.028648745	0.071918266	0.004880761	0.000509674	8.82E-05	0.005163258	0.000575379	0.002499583	0.006451986	0.001075343	0.001979503	1.32E-05	0.057927563	0.004906626	0.001224194	0.000801335	2.74E-05	0.002556179	0.000807277	0.00422833
0.000259935	0.000132649	0.009496704	0.026806075	0.009722317	0.000107235	4.41E-05	0.000729293	0.002142173	0.000268685	0.032085875	0.011540678	0.002080285	0.000303109	0.000199092	0.003453051	0.001643357	0.002413586	0.000584499	0.014879104	0.0038021	0.002433369	0.08716288	0.000975342	0.009858464	0.002766553	0.003641988	0.00030943	0.031687742	0.013729644	0.000687691	0.015168213	0.000339305	0.058097462	0.000958937	0.016112678	0.003995388	0.005565152	0.004080991	0.012715258	0.075319529	0.00299541	0.011003908	0.005950136	0.01970335	0.004107478	0.008455158	0.010155824	5.66E-18	0.006247205	0.00945025	0.018515387	0.000175271	0.001853341	0.015857902	0.004335679	0.006311958	0.00021075	0.004146672	0.000889234	0.000393511	0.002521174	0.003819848	0.091201318	0.000585315	0.002734677	0.003013484	0.002114165
7.62E-05	4.69E-16	0.019846921	0.040356051	0.009968144	0.000313447	0.000205066	0.000287332	0.002069438	4.85E-16	0.047487913	0.013651292	0.001036476	0.001445457	0.000668048	0.000994162	0.001067642	0.0355329	0.000868823	0.01004028	0.003737634	9.27E-06	0.018911869	0.000445538	0.007050457	0.012494758	0.003862451	0.000679067	0.089144418	0.008995246	0.001262319	0.023807601	0.003032841	0.073859941	0.000686734	0.036150822	0.004384038	0.001669926	0.000929156	0.088408704	0.029201384	0.001262583	0.007872427	0.008216872	0.01934796	0.001313828	0.040177731	0.002522913	0.004708559	0.006481518	0.005382888	0.007935464	0.000110243	0.000797378	0.011572039	0.004934214	0.007665336	0.002294167	0.009972095	0.000272982	0.01819602	0.001371331	0.002058271	0.156148161	0.001340294	0.014144727	0.001442915	0.013742072
