Sample	C > A	C > G	C > T	T > A	T > C	T > G	Insertion	Deletion	>1 Indel	Treatment
43	0.438538206	0.132890365	0.132890365	0.023255814	0.009966777	0.013289037	0.03986711	0.186046512	0.023255814	BaP
44	0.399239544	0.182509506	0.129277567	0.022813688	0	0.011406844	0.038022814	0.201520913	0.015209125	BaP
45	0.386178862	0.150406504	0.130081301	0.024390244	0.008130081	0.004065041	0.024390244	0.231707317	0.040650407	BaP
46	0.37007874	0.114173228	0.125984252	0.031496063	0.007874016	0.019685039	0.07480315	0.236220472	0.019685039	BaP
47	0.388185654	0.130801688	0.11814346	0.025316456	0	0.004219409	0.101265823	0.210970464	0.021097046	BaP
48	0.382113821	0.178861789	0.150406504	0.016260163	0.004065041	0.008130081	0.06504065	0.162601626	0.032520325	BaP
13	0.125	0.041666667	0.416666667	0.166666667	0.041666667	0.041666667	0	0.166666667	0	Control
14	0.411764706	0	0.529411765	0.058823529	0	0	0	0	0	Control
15	0.106382979	0.14893617	0.404255319	0.042553191	0.021276596	0.085106383	0	0.170212766	0.021276596	Control
16	0.189189189	0.027027027	0.540540541	0.054054054	0.054054054	0.027027027	0	0.081081081	0.027027027	Control
17	0.208333333	0	0.583333333	0	0.041666667	0.041666667	0	0.125	0	Control
18	0.315789474	0	0.473684211	0	0.105263158	0	0	0.052631579	0.052631579	Control
19	0.375	0.03125	0.25	0.03125	0	0.0625	0.0625	0.15625	0.03125	Control
20	0.333333333	0	0.388888889	0.055555556	0.027777778	0.055555556	0	0.111111111	0.027777778	Control
21	0	0	0.8	0	0	0	0	0.2	0	Control
22	0.25	0.09375	0.34375	0.09375	0.0625	0.03125	0	0.125	0	Control
23	0.105263158	0.078947368	0.447368421	0.078947368	0.052631579	0.052631579	0	0.105263158	0.078947368	Control
24	0.5	0.12	0.16	0	0.04	0.02	0.02	0.12	0.02	Control
25	0.133333333	0.133333333	0.466666667	0	0.066666667	0.066666667	0	0.133333333	0	Control
26	0.235294118	0.058823529	0.529411765	0	0.058823529	0	0	0.117647059	0	Control
28	0.3	0.066666667	0.333333333	0.033333333	0.066666667	0	0	0.166666667	0.033333333	Control
29	0.347826087	0.043478261	0.391304348	0.086956522	0.043478261	0	0	0.043478261	0.043478261	Control
ENU_Control	0.14893617	0.085106383	0.489361702	0.063829787	0.042553191	0.063829787	0	0.085106383	0.021276596	Control
PRC-TEM_Control	0.157894737	0	0.578947368	0.052631579	0.105263158	0	0	0.052631579	0.052631579	Control
D23	0.254545455	0	0.4	0.218181818	0.072727273	0.018181818	0	0.018181818	0.018181818	ENU
D24	0.341463415	0.024390244	0.243902439	0.268292683	0.073170732	0.048780488	0	0	0	ENU
D25	0.217391304	0.010869565	0.380434783	0.239130435	0.065217391	0.065217391	0	0.02173913	0	ENU
D26	0.192982456	0.01754386	0.385964912	0.280701754	0.052631579	0.01754386	0	0.052631579	0	ENU
D27	0.225352113	0.014084507	0.35915493	0.253521127	0.049295775	0.056338028	0.028169014	0.007042254	0.007042254	ENU
D28	0.15625	0	0.375	0.25	0.15625	0.0625	0	0	0	ENU
LH1	0.095238095	0	0.428571429	0.285714286	0.095238095	0.047619048	0	0.047619048	0	PRC
LH2	0.333333333	0	0	0.444444444	0.222222222	0	0	0	0	PRC
LH3	0.151515152	0	0.333333333	0.272727273	0.090909091	0.060606061	0	0.060606061	0.03030303	PRC
SH2	0.173913043	0.043478261	0.434782609	0.173913043	0.086956522	0	0.043478261	0.043478261	0	PRC
SH3	0.205882353	0	0.382352941	0.147058824	0.117647059	0.029411765	0.029411765	0.088235294	0	PRC
81	0.192307692	0.057692308	0.423076923	0.057692308	0.076923077	0.038461538	0.038461538	0.096153846	0.019230769	TEM
82	0.323529412	0.058823529	0.235294118	0.117647059	0.058823529	0.088235294	0	0.088235294	0.029411765	TEM
84	0.09375	0.03125	0.15625	0.0625	0	0.0625	0.25	0.25	0.09375	TEM
85	0.166666667	0.083333333	0.416666667	0	0	0.166666667	0	0.083333333	0.083333333	TEM
86	0.25	0	0.375	0.125	0	0	0.125	0.0625	0.0625	TEM
88	0	0	0.714285714	0	0.142857143	0	0	0	0.142857143	TEM
